sample_number, depth (m), weight (g), volume (ml), lead (ppm), zinc (ppm), cadmium (ppm), chromium (ppm), nickel (ppm), iron (%), aluminum (%)
2001, 0.24, 2.042, 63.9, 55, 86, 2.8, 60, 29, 3.4, 1.0
2002, 2.0, 2.052, 73.3, 53, 77, 2.6, 48, 25, 2.9, 1.0
2003, 5.8, 2.005, 72.7, 55, 91, 2.8, 60, 28, 3.1, 0.9
2004, 6.5, 1.973, 63.8, 59, 86, 2.9, 59, 32, 3.4, 1.2
2005, 7.6, 1.988, 97.3, 58, 81, 2.7, 52, 27, 3.2, 1.2
2006, 12.2, 2.039, 83.8, 50, 87, 2.7, 52, 27, 2.9, 0.8
2007, 16.4, 1.964, 74.9, 63, 94, 2.9, 58, 29, 3.2, 1.2
2008, 20.8, 1.992, 83.8, 50, 92, 2.7, 54, 29, 3.4, 0.9
2009, 22.5, 1.981, 75.1, 48, 90, 2.8, 55, 28, 3.1, 0.7
2010, 29.0, 2.095, 75.9, 56, 108, 3.4, 68, 33, 4.0, 0.8
2011, 31.7, 1.960, 70.3, 63, 112, 3.4, 66, 32, 3.4, 1.0
2012, 38.0, 2.021, 79.7, 54, 101, 3.3, 62, 33, 3.6, 0.7
2013, 41.5, 2.047, 77.3, 53, 88, 3.1, 58, 29, 3.7, 0.8
2014, 60.0, 2.024, 76.9, 56, 99, 3.3, 71, 32, 3.5, 0.8
2015, 61.5, 2.011, 80.2, 50, 90, 3.0, 60, 27, 3.4, 0.7
2016, 72.0, 1.995, 76.0, 55, 98, 3.0, 63, 30, 3.5, 0.9
2017, 104.0, 1.994, 96.0, 50, 70, 3.0, 58, 21, 4.8, 0.8
